index,Teamname,match_id,timestamp,minute,second,type.name,shot.end_location.x,GoalWidth,GoalHeight,shot.outcome.name,DistToGoal,goal
3085,Sweden Women's,3893796,00:44:13.651,89,13,Shot,120,39.1,0.7,Goal,4.31856457633783,TRUE
524,Netherlands Women's,3893797,00:12:36.173,12,36,Shot,120,41.8,1.2,Goal,10.1788997440784,TRUE
519,Germany Women's,3893799,00:10:45.698,10,45,Shot,120,43,1.8,Goal,7.10633520177594,TRUE
1568,Germany Women's,3893799,00:38:05.128,38,5,Shot,120,38.8,1,Goal,6.87313611097583,TRUE
2012,Germany Women's,3893799,00:00:20.880,45,20,Shot,120,41.2,0.2,Goal,11.6674761623926,TRUE
3667,Germany Women's,3893799,00:44:38.100,89,38,Shot,120,38.6,0.7,Goal,8.26619622317303,TRUE
3112,Italy Women's,3893800,00:41:29.091,86,29,Shot,120,37.6,1.9,Goal,11.7686022959398,TRUE
670,Brazil Women's,3893801,00:18:33.480,18,33,Shot,120,42.8,0.8,Goal,8.0448741444475,TRUE
1360,Brazil Women's,3893801,00:38:19.636,38,19,Shot,120,42.5,0.5,Goal,3.89999999999999,TRUE
1838,Brazil Women's,3893801,00:02:45.361,47,45,Shot,120,43.5,2.1,Goal,10.1434708063858,TRUE
2504,Brazil Women's,3893801,00:24:43.186,69,43,Shot,120,38.7,0.4,Goal,8.92748564826626,TRUE
770,Colombia Women's,3893802,00:29:26.402,29,26,Shot,120,37.1,0.2,Goal,11.9004201606498,TRUE
969,Colombia Women's,3893802,00:38:17.828,38,17,Shot,120,40.9,1.6,Goal,25.6124969497314,TRUE
844,Philippines Women's,3893803,00:23:29.997,23,29,Shot,120,40.1,1.9,Goal,5.10392006206993,TRUE
902,Japan Women's,3893805,00:24:12.273,24,12,Shot,120,42.6,0.5,Goal,17.5171344688565,TRUE
986,Japan Women's,3893805,00:26:37.827,26,37,Shot,120,42.9,0.9,Goal,14.7709173716462,TRUE
386,Spain Women's,3893806,00:08:41.962,8,41,Shot,120,36.7,2.3,Goal,25.5562125519413,TRUE
504,Spain Women's,3893806,00:12:40.115,12,40,Shot,120,42.2,0.6,Goal,5.3851648071345,TRUE
3187,Spain Women's,3893806,00:23:29.335,68,29,Shot,120,39.1,0.1,Goal,10.295630140987,TRUE
3212,Spain Women's,3893806,00:25:00.168,70,0,Shot,120,36.6,1.2,Goal,9.62133046932699,TRUE
3755,Spain Women's,3893806,00:39:29.145,84,29,Shot,120,39.9,0.5,Goal,9.77445650662992,TRUE
177,Republic of Ireland Women's,3893807,00:03:35.731,3,35,Shot,120,37.2,2.1,Goal,39.6031564398597,TRUE
2068,Canada Women's,3893807,00:07:52.395,52,52,Shot,120,38,0.9,Goal,11.1018016555873,TRUE
640,Netherlands Women's,3893808,00:16:09.135,16,9,Shot,120,36.7,0,Goal,17.7002824836215,TRUE
2485,United States Women's,3893808,00:16:53.659,61,53,Shot,120,42.8,2.2,Goal,6.8818602136341,TRUE
1539,Australia Women's,3893809,00:45:52.330,45,52,Shot,120,42.9,0.2,Goal,14.1056726177804,TRUE
1641,Nigeria Women's,3893809,00:50:29.426,50,29,Shot,120,43,0.2,Goal,9.4540996398388,TRUE
