Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020,2024
1123,Latin America and the Caribbean,,,1830,Uzbekistan,860,38,52,69,99,144,239,543,599
1124,Latin America and the Caribbean,,,1830,Eastern Asia,906,200 456,197 928,196 174,197 331,207 850,223 035,244 289,286 358
1125,Latin America and the Caribbean,,,1830,China,156,50 692,57 244,66 425,78 654,97 726,118 389,142 759,151 354
1126,Latin America and the Caribbean,,,1830,"China, Hong Kong SAR",344,2 419,2 591,3 579,2 648,4 224,4 358,5 062,6 090
1127,Latin America and the Caribbean,,,1830,"China, Macao SAR",446,32,38,50,73,108,180,417,459
1128,Latin America and the Caribbean,,,1830,"China, Taiwan Province of China",158,5 049,9 566,9 102,8 797,8 568,8 519,8 644,8 858
1129,Latin America and the Caribbean,,,1830,Dem. People's Republic of Korea,408,5 597,5 207,4 880,5 043,5 386,5 403,5 506,5 643
1130,Latin America and the Caribbean,,,1830,Japan,392,107 973,96 588,88 042,77 357,65 564,57 172,49 859,78 653
1131,Latin America and the Caribbean,,,1830,Mongolia,496,7,8,12,9,17,17,19,23
1132,Latin America and the Caribbean,,,1830,Republic of Korea,410,28 687,26 686,24 084,24 750,26 257,28 997,32 023,35 278
1133,Latin America and the Caribbean,,,1830,Southern Asia,5501,9 627,11 098,12 472,13 984,18 035,23 473,34 666,44 968
1134,Latin America and the Caribbean,,,1830,Afghanistan,4,224,150,220,291,537,753,1 201,10 225
1135,Latin America and the Caribbean,,,1830,Bangladesh,50,108,103,101,130,194,1 588,5 789,1 332
1136,Latin America and the Caribbean,,,1830,Bhutan,64,12,12,14,13,14,12,12,14
1137,Latin America and the Caribbean,,,1830,India,356,7 744,8 568,9 762,10 996,14 043,16 575,20 668,26 456
1138,Latin America and the Caribbean,,,1830,Iran (Islamic Republic of),364,868,1 499,1 443,1 474,1 585,1 774,2 145,2 303
1139,Latin America and the Caribbean,,,1830,Maldives,462,1,1,1,2,2,1,1,1
1140,Latin America and the Caribbean,,,1830,Nepal,524,87,80,87,107,147,299,697,1 669
1141,Latin America and the Caribbean,,,1830,Pakistan,586,558,665,829,942,1 473,2 428,4 110,2 923
1142,Latin America and the Caribbean,,,1830,Sri Lanka,144,25,20,15,29,40,43,43,45
1143,Latin America and the Caribbean,,,1830,South-Eastern Asia,920,4 838,7 313,7 756,9 610,11 844,13 288,15 620,25 135
1144,Latin America and the Caribbean,,,1830,Cambodia,116,120,133,146,132,120,124,129,140
1145,Latin America and the Caribbean,,,1830,Indonesia,360,452,1 360,1 241,1 324,1 357,1 472,1 595,1 830
1146,Latin America and the Caribbean,,,1830,Lao People's Democratic Republic,418,1 454,1 439,1 429,1 410,1 416,1 521,1 751,1 879
1147,Latin America and the Caribbean,,,1830,Malaysia,458,118,137,172,173,192,247,415,466
1148,Latin America and the Caribbean,,,1830,Myanmar,104,34,41,53,65,98,110,131,195
1149,Latin America and the Caribbean,,,1830,Philippines,608,2 137,3 089,3 661,5 382,7 505,8 466,9 983,12 140
1150,Latin America and the Caribbean,,,1830,Singapore,702,72,73,85,106,150,213,402,465
1151,Latin America and the Caribbean,,,1830,Thailand,764,127,700,630,709,727,812,872,981
1152,Latin America and the Caribbean,,,1830,Viet Nam,704,324,341,339,309,279,323,342,7 039
1153,Latin America and the Caribbean,,,1830,Western Asia,922,76 607,73 810,68 868,65 685,63 440,67 399,73 364,78 135
1154,Latin America and the Caribbean,,,1830,Armenia,51,1 119,1 101,1 085,1 077,1 084,1 118,1 128,1 169
1155,Latin America and the Caribbean,,,1830,Azerbaijan,31,2,3,4,4,5,5,4,5
1156,Latin America and the Caribbean,,,1830,Bahrain,48,22,26,28,26,23,22,22,24
1157,Latin America and the Caribbean,,,1830,Cyprus,196,323,310,298,315,347,358,365,374
1158,Latin America and the Caribbean,,,1830,Georgia,268,38,40,48,81,136,185,323,385
1159,Latin America and the Caribbean,,,1830,Iraq,368,112,779,702,796,910,1 127,1 708,1 424
1160,Latin America and the Caribbean,,,1830,Israel,376,9 703,9 180,8 594,8 405,8 470,8 650,8 854,10 151
1161,Latin America and the Caribbean,,,1830,Jordan,400,757,1 939,1 655,1 681,1 521,1 644,1 729,1 790
1162,Latin America and the Caribbean,,,1830,Kuwait,414,65,66,66,68,71,77,71,69
1163,Latin America and the Caribbean,,,1830,Lebanon,422,33 252,31 098,29 115,26 580,24 116,23 569,22 671,26 652
1164,Latin America and the Caribbean,,,1830,Oman,512,33,40,52,74,110,182,419,462
1165,Latin America and the Caribbean,,,1830,Qatar,634,36,43,53,72,105,173,392,434
1166,Latin America and the Caribbean,,,1830,Saudi Arabia,682,1 159,1 708,1 808,1 969,2 142,2 354,2 398,2 435
1167,Latin America and the Caribbean,,,1830,State of Palestine,275,1 598,1 921,1 940,1 873,1 924,2 460,2 995,2 969
1168,Latin America and the Caribbean,,,1830,Syrian Arab Republic,760,25 110,22 618,20 719,20 176,20 118,23 061,27 403,26 369
1169,Latin America and the Caribbean,,,1830,Türkiye,792,3 264,2 925,2 681,2 460,2 330,2 384,2 852,3 392
1170,Latin America and the Caribbean,,,1830,United Arab Emirates,784,0..,1,2,1,0..,0..,0..,0..
1171,Latin America and the Caribbean,,,1830,Yemen,887,14,12,18,27,28,30,30,31
1172,Latin America and the Caribbean,,,1830,EUROPE,908,1 853 999,1 621 098,1 440 351,1 285 620,1 177 201,1 087 722,1 022 105,1 159 481
1173,Latin America and the Caribbean,,,1830,Eastern Europe,923,124 516,96 399,76 264,59 805,49 204,39 554,36 279,44 495
1174,Latin America and the Caribbean,,,1830,Belarus,112,5,6,8,8,10,11,11,13
1175,Latin America and the Caribbean,,,1830,Bulgaria,100,1 843,1 737,1 705,1 452,1 304,1 324,1 343,1 494
1176,Latin America and the Caribbean,,,1830,Czechia,203,6 545,4 824,3 651,2 732,2 022,1 092,963,1 060
1177,Latin America and the Caribbean,,,1830,Hungary,348,9 759,7 723,6 255,5 119,4 214,2 924,2 047,3 477
1178,Latin America and the Caribbean,,,1830,Poland,616,52 445,38 216,28 393,20 760,15 222,10 370,7 843,8 828
1179,Latin America and the Caribbean,,,1830,Republic of Moldova*,498,9,10,12,17,24,24,23,26
1180,Latin America and the Caribbean,,,1830,Romania,642,12 801,9 975,8 216,6 598,5 532,3 997,3 515,4 260
1181,Latin America and the Caribbean,,,1830,Russian Federation,643,31 441,23 835,18 792,14 332,12 434,11 514,12 127,14 684
1182,Latin America and the Caribbean,,,1830,Slovakia,703,235,483,440,476,504,536,562,606
1183,Latin America and the Caribbean,,,1830,Ukraine*,804,9 433,9 590,8 792,8 311,7 938,7 762,7 845,10 047
1184,Latin America and the Caribbean,,,1830,Northern Europe,924,47 128,49 859,52 115,54 104,56 884,60 567,64 981,71 212
1185,Latin America and the Caribbean,,,1830,Channel Islands*,830,101,81,100,71,126,126,148,176
1186,Latin America and the Caribbean,,,1830,Denmark*,208,2 058,2 036,2 071,2 068,2 106,2 202,2 296,2 635
1187,Latin America and the Caribbean,,,1830,Estonia,233,266,483,450,505,547,634,841,891
1188,Latin America and the Caribbean,,,1830,Finland*,246,663,626,620,760,1 006,1 282,1 500,1 379
1189,Latin America and the Caribbean,,,1830,Iceland,352,32,618,521,580,562,651,858,913
1190,Latin America and the Caribbean,,,1830,Ireland,372,1 324,1 380,1 516,1 489,1 511,1 557,1 612,1 961
1191,Latin America and the Caribbean,,,1830,Isle of Man*,833,0..,0..,0..,1,2,3,2,2
1192,Latin America and the Caribbean,,,1830,Latvia,428,169,180,198,236,297,414,762,821
1193,Latin America and the Caribbean,,,1830,Lithuania,440,529,1 293,1 168,1 276,1 313,1 466,1 792,1 903
1194,Latin America and the Caribbean,,,1830,Norway*,578,1 071,1 022,1 039,1 296,1 721,2 076,2 356,2 208
1195,Latin America and the Caribbean,,,1830,Sweden,752,3 765,3 964,4 215,4 205,4 169,4 389,4 542,5 200
1196,Latin America and the Caribbean,,,1830,United Kingdom*,826,37 150,38 176,40 217,41 617,43 524,45 767,48 272,53 123
1197,Latin America and the Caribbean,,,1830,Southern Europe,925,1 423 429,1 207 181,1 031 650,891 838,788 391,697 588,623 204,727 110
1198,Latin America and the Caribbean,,,1830,Albania,8,319,245,293,151,181,283,521,599
1199,Latin America and the Caribbean,,,1830,Andorra,20,2,1,0..,0..,0..,0..,0..,0..
1200,Latin America and the Caribbean,,,1830,Bosnia and Herzegovina,70,27,27,27,31,37,40,37,37
1201,Latin America and the Caribbean,,,1830,Croatia,191,3 336,3 933,3 486,3 176,2 787,2 473,2 191,2 354
1202,Latin America and the Caribbean,,,1830,Gibraltar*,292,3,3,5,4,5,4,4,5
1203,Latin America and the Caribbean,,,1830,Greece,300,8 794,7 578,6 651,5 609,4 717,3 791,2 982,4 374
1204,Latin America and the Caribbean,,,1830,Holy See*,336,20,25,33,48,72,122,282,311
1205,Latin America and the Caribbean,,,1830,Italy,380,513 244,438 034,375 628,317 699,273 442,229 964,195 885,194 018
1206,Latin America and the Caribbean,,,1830,Malta,470,39,41,42,35,29,31,30,33
1207,Latin America and the Caribbean,,,1830,Montenegro,499,1 365,1 327,1 294,1 370,1 492,1 547,1 567,1 587
1208,Latin America and the Caribbean,,,1830,North Macedonia,807,32,25,27,35,63,65,70,80
1209,Latin America and the Caribbean,,,1830,Portugal,620,360 190,312 457,274 411,237 455,198 815,164 465,128 536,206 245
1210,Latin America and the Caribbean,,,1830,Serbia*,688,18 026,12 536,8 797,3 202,1 759,1 352,1 162,1 360
1211,Latin America and the Caribbean,,,1830,Slovenia,705,2 200,2 153,1 869,1 649,1 432,1 248,1 158,1 261
1212,Latin America and the Caribbean,,,1830,Spain*,724,515 832,428 796,359 087,321 374,303 560,292 203,288 779,314 846
1213,Latin America and the Caribbean,,,1830,Western Europe,926,258 926,267 659,280 322,279 873,282 722,290 013,297 641,316 664
1214,Latin America and the Caribbean,,,1830,Austria,40,14 337,12 031,10 389,8 674,7 197,6 300,5 525,6 946
1215,Latin America and the Caribbean,,,1830,Belgium,56,8 405,8 377,8 380,8 352,8 581,8 869,9 096,10 150
1216,Latin America and the Caribbean,,,1830,France*,250,115 685,132 918,150 846,156 818,163 921,173 237,179 632,181 942
1217,Latin America and the Caribbean,,,1830,Germany,276,80 926,73 930,68 718,64 176,60 786,57 987,57 624,62 896
1218,Latin America and the Caribbean,,,1830,Liechtenstein,438,5,4,4,4,5,4,4,5
1219,Latin America and the Caribbean,,,1830,Luxembourg,442,11,13,19,15,21,22,24,29
1220,Latin America and the Caribbean,,,1830,Monaco,492,3,2,1,2,2,1,1,1
1221,Latin America and the Caribbean,,,1830,Netherlands*,528,24 976,25 756,26 948,27 657,28 425,29 756,31 849,40 102
1222,Latin America and the Caribbean,,,1830,Switzerland,756,14 578,14 628,15 017,14 175,13 784,13 837,13 886,14 593
1223,Latin America and the Caribbean,,,1830,LATIN AMERICA AND THE CARIBBEAN,904,3 700 702,3 674 872,3 787 986,4 267 969,5 351 426,5 968 907,10 977 915,14 032 392
1224,Latin America and the Caribbean,,,1830,Caribbean,915,559 325,613 574,672 020,725 758,800 541,1 018 342,1 316 892,1 564 752
1225,Latin America and the Caribbean,,,1830,Anguilla*,660,2 242,2 172,2 111,1 729,1 673,1 533,1 523,1 565
1226,Latin America and the Caribbean,,,1830,Antigua and Barbuda,28,6 650,7 100,7 634,7 428,7 590,7 844,8 121,8 339
1227,Latin America and the Caribbean,,,1830,Aruba*,533,4 192,4 288,4 436,3 917,4 313,4 571,4 943,5 827
1228,Latin America and the Caribbean,,,1830,Bahamas,44,1 744,1 720,1 758,1 606,1 457,1 498,1 579,1 698
1229,Latin America and the Caribbean,,,1830,Barbados,52,5 440,5 422,5 149,5 247,4 548,4 727,5 140,6 004
1230,Latin America and the Caribbean,,,1830,"Bonaire, Sint Eustatius and Saba*",535,2 852,2 947,3 052,3 016,2 883,3 099,3 524,4 744
1231,Latin America and the Caribbean,,,1830,British Virgin Islands*,92,3 787,3 873,3 985,3 565,3 924,3 992,4 065,4 175
1232,Latin America and the Caribbean,,,1830,Cayman Islands*,136,104,107,115,134,167,235,373,402
1233,Latin America and the Caribbean,,,1830,Cuba,192,61 064,61 622,66 014,68 547,79 313,89 889,140 130,190 070
1234,Latin America and the Caribbean,,,1830,Curaçao*,531,2 918,3 661,4 563,4 150,5 113,5 341,5 687,6 787
1235,Latin America and the Caribbean,,,1830,Dominica,212,18 156,19 936,21 891,20 757,20 660,20 891,20 756,21 297
1236,Latin America and the Caribbean,,,1830,Dominican Republic,214,80 384,95 590,111 735,118 382,123 808,129 425,137 493,144 487
1237,Latin America and the Caribbean,,,1830,Grenada,308,19 388,17 927,14 026,14 755,10 368,10 680,11 611,15 761
1238,Latin America and the Caribbean,,,1830,Guadeloupe*,312,7 480,8 348,9 217,8 478,9 522,10 481,10 813,11 144
1239,Latin America and the Caribbean,,,1830,Haiti,332,233 817,260 942,288 726,337 832,398 753,595 466,825 181,993 632
1240,Latin America and the Caribbean,,,1830,Jamaica,388,16 483,19 632,24 389,26 030,32 268,34 864,38 086,42 532
1241,Latin America and the Caribbean,,,1830,Martinique*,474,10 817,12 290,13 789,13 927,14 107,11 994,12 228,12 478
1242,Latin America and the Caribbean,,,1830,Montserrat*,500,2 004,2 270,2 573,2 750,2 908,3 054,3 157,3 254
1243,Latin America and the Caribbean,,,1830,Puerto Rico*,630,18 583,19 634,20 986,18 221,16 440,15 759,16 566,17 911
1244,Latin America and the Caribbean,,,1830,Saint Kitts and Nevis,659,9 828,10 799,11 785,11 961,11 496,12 120,13 100,13 817
1245,Latin America and the Caribbean,,,1830,Saint Lucia,662,12 316,13 445,14 505,13 606,12 801,12 943,13 288,14 041
1246,Latin America and the Caribbean,,,1830,Saint Vincent and the Grenadines,670,18 934,18 718,17 449,17 690,14 575,15 343,16 526,20 349
1247,Latin America and the Caribbean,,,1830,Sint Maarten (Dutch part)*,534,1 108,1 320,1 594,1 655,1 698,1 793,1 945,2 464
1248,Latin America and the Caribbean,,,1830,Trinidad and Tobago,780,14 670,15 580,16 393,16 005,15 601,15 974,16 155,16 835
1249,Latin America and the Caribbean,,,1830,Turks and Caicos Islands*,796,2 087,1 293,497,982,1 466,1 585,1 695,1 794
1250,Latin America and the Caribbean,,,1830,United States Virgin Islands*,850,2 277,2 938,3 648,3 388,3 089,3 241,3 207,3 345
1251,Latin America and the Caribbean,,,1830,Central America,916,918 726,678 540,528 926,572 907,646 926,715 903,921 361,1 170 998
1252,Latin America and the Caribbean,,,1830,Belize,84,3 483,3 573,3 784,4 298,5 153,5 855,6 588,7 274
1253,Latin America and the Caribbean,,,1830,Costa Rica,188,20 685,19 897,22 910,25 657,27 784,31 598,35 560,42 315
1254,Latin America and the Caribbean,,,1830,El Salvador,222,439 597,232 409,49 233,51 111,62 500,74 767,106 973,133 504
1255,Latin America and the Caribbean,,,1830,Guatemala,320,84 367,85 925,76 333,67 342,77 199,93 176,115 811,138 563
1256,Latin America and the Caribbean,,,1830,Honduras,340,41 922,40 220,41 252,47 072,58 106,73 197,137 979,228 315
1257,Latin America and the Caribbean,,,1830,Mexico,484,45 891,49 809,54 850,58 626,66 116,75 201,86 619,93 560
1258,Latin America and the Caribbean,,,1830,Nicaragua,558,262 307,227 741,259 263,302 131,328 398,339 022,405 930,497 523
1259,Latin America and the Caribbean,,,1830,Panama,591,20 474,18 966,21 301,16 670,21 670,23 087,25 901,29 944
1260,Latin America and the Caribbean,,,1830,South America,931,2 222 651,2 382 758,2 587 040,2 969 304,3 903 959,4 234 662,8 739 662,11 296 642
1261,Latin America and the Caribbean,,,1830,Argentina,32,166 835,191 026,218 588,240 279,257 220,279 351,314 917,351 470
1262,Latin America and the Caribbean,,,1830,Bolivia (Plurinational State of),68,189 738,221 844,260 362,324 740,416 407,462 063,540 767,565 870
1263,Latin America and the Caribbean,,,1830,Brazil,76,196 517,188 163,179 751,192 097,204 945,226 039,256 492,292 545
1264,Latin America and the Caribbean,,,1830,Chile,152,286 436,280 529,275 972,265 856,256 037,243 008,232 326,235 656
1265,Latin America and the Caribbean,,,1830,Colombia,170,644 178,689 344,736 095,842 873,1 335 136,1 421 500,1 505 994,1 510 607
1266,Latin America and the Caribbean,,,1830,Ecuador,218,43 556,49 770,59 200,69 493,86 684,103 294,124 919,140 306
1267,Latin America and the Caribbean,,,1830,Falkland Islands (Malvinas)*,238,968,1 724,1 395,980,283,71,13,13
1268,Latin America and the Caribbean,,,1830,French Guiana*,254,3 040,3 254,3 550,3 692,3 815,4 106,4 128,4 490
1269,Latin America and the Caribbean,,,1830,Guyana,328,28 400,33 471,40 341,46 054,57 206,61 073,64 738,71 987
1270,Latin America and the Caribbean,,,1830,Paraguay,600,312 330,332 485,354 804,443 506,588 230,595 325,591 966,588 777
1271,Latin America and the Caribbean,,,1830,Peru,604,93 602,126 562,185 129,258 217,395 669,447 535,513 003,548 082
1272,Latin America and the Caribbean,,,1830,Suriname,740,19 906,20 931,21 973,27 602,31 963,30 052,33 589,39 621
1273,Latin America and the Caribbean,,,1830,Uruguay,858,153 241,154 921,157 341,157 786,157 126,150 413,143 596,141 101
1274,Latin America and the Caribbean,,,1830,Venezuela (Bolivarian Republic of),862,83 904,88 734,92 539,96 129,113 238,210 832,4 413 214,6 806 117
1275,Latin America and the Caribbean,,,1830,NORTHERN AMERICA,905,635 948,703 679,798 054,969 667,1 191 678,1 217 999,1 267 159,1 298 131
1276,Latin America and the Caribbean,,,1830,Bermuda*,60,90,97,116,160,211,265,427,465
1277,Latin America and the Caribbean,,,1830,Canada,124,29 540,32 415,36 285,35 860,37 376,40 912,45 456,52 249
1278,Latin America and the Caribbean,,,1830,Greenland*,304,471,414,478,329,358,388,436,481
1279,Latin America and the Caribbean,,,1830,Saint Pierre and Miquelon*,666,50,59,71,85,104,111,122,156
1280,Latin America and the Caribbean,,,1830,United States of America*,840,605 797,670 694,761 104,933 233,1 153 629,1 176 323,1 220 718,1 244 780
1281,Latin America and the Caribbean,,,1830,OCEANIA,909,5 944,6 507,6 554,6 458,6 600,6 898,7 313,8 417
1282,Latin America and the Caribbean,,,1830,Australia/New Zealand,927,5 506,5 870,5 872,6 103,6 400,6 706,7 015,8 090
1283,Latin America and the Caribbean,,,1830,Australia*,36,5 050,5 022,5 012,5 138,5 418,5 596,5 805,6 766
1284,Latin America and the Caribbean,,,1830,New Zealand*,554,456,848,860,965,982,1 110,1 210,1 324
1285,Latin America and the Caribbean,,,1830,Melanesia,928,160,272,226,172,92,46,7,7
1286,Latin America and the Caribbean,,,1830,Fiji,242,1,2,3,3,2,1,1,1
1287,Latin America and the Caribbean,,,1830,New Caledonia*,540,0..,1,1,1,0..,0..,0..,0..
1288,Latin America and the Caribbean,,,1830,Papua New Guinea,598,0..,1,1,1,1,2,1,1
1289,Latin America and the Caribbean,,,1830,Solomon Islands,90,0..,0..,0..,1,1,2,1,1
1290,Latin America and the Caribbean,,,1830,Vanuatu,548,159,268,221,166,88,41,4,4
1291,Latin America and the Caribbean,,,1830,Micronesia,954,239,276,318,74,20,15,16,17
1292,Latin America and the Caribbean,,,1830,Guam*,316,239,276,318,74,20,15,16,17
1293,Latin America and the Caribbean,,,1830,Polynesia*,957,39,89,138,109,88,131,275,303
1294,Latin America and the Caribbean,,,1830,Cook Islands*,184,9,10,11,10,9,8,8,9
1295,Latin America and the Caribbean,,,1830,French Polynesia*,258,18,23,30,44,66,110,255,281
1296,Latin America and the Caribbean,,,1830,Niue*,570,0..,41,81,41,1,2,1,1
1297,Latin America and the Caribbean,,,1830,Tonga,776,0..,1,1,1,0..,0..,0..,0..
1298,Latin America and the Caribbean,,,1830,Wallis and Futuna Islands*,876,12,14,15,13,12,11,11,12
1299,Latin America and the Caribbean,,,1830,Others,2003,745 192,403 908,243 161,265 169,216 390,457 239,576 398,515 336
1300,Oceania (excluding Australia and New Zealand),,,1835,World,900,258 678,280 580,296 618,306 039,298 175,302 810,313 069,321 771
1301,Oceania (excluding Australia and New Zealand),,,1835,Sub-Saharan Africa,1834,73,82,80,92,69,66,54,54
1302,Oceania (excluding Australia and New Zealand),,,1835,Northern Africa and Western Asia,1833,2 143,2 446,2 737,2 901,3 008,2 440,2 546,2 639
1303,Oceania (excluding Australia and New Zealand),,,1835,Central and Southern Asia,1831,5 227,5 431,5 546,5 496,5 645,5 849,6 020,6 183
1304,Oceania (excluding Australia and New Zealand),,,1835,Eastern and South-Eastern Asia,1832,70 540,81 210,92 451,91 476,82 438,80 083,82 715,84 946
1305,Oceania (excluding Australia and New Zealand),,,1835,Latin America and the Caribbean,1830,1 117,1 327,1 606,3 473,4 933,4 861,5 094,5 292
1306,Oceania (excluding Australia and New Zealand),,,1835,Oceania (excluding Australia and New Zealand),1835,55 191,61 890,68 468,68 242,65 111,67 700,69 783,71 632
1307,Oceania (excluding Australia and New Zealand),,,1835,Australia/New Zealand,1836,25 034,25 995,22 277,22 675,21 187,21 043,21 372,21 679
1308,Oceania (excluding Australia and New Zealand),,,1835,Europe and Northern America,1829,78 727,80 022,79 730,85 857,89 303,97 412,101 312,104 592
1309,Oceania (excluding Australia and New Zealand),,,1835,More developed regions,901,107 527,109 870,106 042,112 346,113 822,121 702,126 045,129 737
1310,Oceania (excluding Australia and New Zealand),,,1835,Less developed regions,902,130 525,148 533,166 853,167 866,157 872,157 752,162 851,167 280
1311,Oceania (excluding Australia and New Zealand),,,1835,Least developed countries,941,8 325,8 511,8 633,8 217,6 823,6 625,6 817,7 019
1312,Oceania (excluding Australia and New Zealand),,,1835,"Less developed regions, excluding least developed countries",934,122 200,140 022,158 220,159 649,151 049,151 127,156 034,160 261
1313,Oceania (excluding Australia and New Zealand),,,1835,"Less developed regions, excluding China",948,123 205,135 082,146 514,152 051,149 117,149 316,154 219,158 463
1314,Oceania (excluding Australia and New Zealand),,,1835,Land-locked Developing Countries (LLDC),1636,671,788,918,944,908,715,749,781
1315,Oceania (excluding Australia and New Zealand),,,1835,Small Island Developing States (SIDS),1637,50 630,56 649,62 605,64 216,62 515,61 289,62 921,64 389
1316,Oceania (excluding Australia and New Zealand),,,1835,High-and-upper-middle-income countries,5503,151 711,160 763,164 821,170 644,166 770,174 130,179 609,184 338
1317,Oceania (excluding Australia and New Zealand),,,1835,Low-and-Lower-middle-income countries,5504,80 540,90 942,100 487,101 942,97 275,93 935,97 219,100 030
1318,Oceania (excluding Australia and New Zealand),,,1835,High-income countries,1503,126 239,129 817,127 432,134 342,134 524,141 925,146 875,151 106
1319,Oceania (excluding Australia and New Zealand),,,1835,Low-and-middle-income countries,1859,106 012,121 888,137 876,138 244,129 521,126 140,129 953,133 262
1320,Oceania (excluding Australia and New Zealand),,,1835,Middle-income countries,1517,106 012,121 888,137 876,138 244,129 521,126 140,129 953,133 262
1321,Oceania (excluding Australia and New Zealand),,,1835,Upper-middle-income countries,1502,25 472,30 946,37 389,36 302,32 246,32 205,32 734,33 232
1322,Oceania (excluding Australia and New Zealand),,,1835,Lower-middle-income countries,1501,80 540,90 942,100 487,101 942,97 275,93 935,97 219,100 030
1323,Oceania (excluding Australia and New Zealand),,,1835,No income group available,1518,5 801,6 698,7 587,7 626,7 649,11 389,12 068,12 649
1324,Oceania (excluding Australia and New Zealand),,,1835,AFRICA,903,2 216,2 528,2 817,2 993,3 077,2 506,2 600,2 693
1325,Oceania (excluding Australia and New Zealand),,,1835,Eastern Africa,910,73,82,80,92,69,66,54,54
1326,Oceania (excluding Australia and New Zealand),,,1835,Mayotte,175,35,44,52,58,41,38,27,27
1327,Oceania (excluding Australia and New Zealand),,,1835,United Republic of Tanzania,834,38,38,28,34,28,28,27,27
1328,Oceania (excluding Australia and New Zealand),,,1835,Northern Africa,912,2 143,2 446,2 737,2 901,3 008,2 440,2 546,2 639
1329,Oceania (excluding Australia and New Zealand),,,1835,Algeria,12,1 118,1 258,1 386,1 462,1 480,1 267,1 302,1 333
1330,Oceania (excluding Australia and New Zealand),,,1835,Morocco,504,479,555,631,672,714,548,581,610
1331,Oceania (excluding Australia and New Zealand),,,1835,Tunisia,788,546,633,720,767,814,625,663,696
1332,Oceania (excluding Australia and New Zealand),,,1835,ASIA,935,75 767,86 641,97 997,96 972,88 083,85 932,88 735,91 129
1333,Oceania (excluding Australia and New Zealand),,,1835,Eastern Asia,906,17 492,23 049,29 667,24 927,16 896,16 335,16 808,17 242
1334,Oceania (excluding Australia and New Zealand),,,1835,China,156,7 312,13 444,20 331,15 800,8 737,8 415,8 612,8 797
1335,Oceania (excluding Australia and New Zealand),,,1835,"China, Hong Kong SAR",344,8,7,8,15,18,21,20,20
1336,Oceania (excluding Australia and New Zealand),,,1835,Japan,392,3 766,3 853,4 035,3 814,3 332,3 247,3 361,3 466
1337,Oceania (excluding Australia and New Zealand),,,1835,Republic of Korea,410,6 406,5 745,5 293,5 298,4 809,4 652,4 815,4 959
1338,Oceania (excluding Australia and New Zealand),,,1835,Southern Asia,5501,5 227,5 431,5 546,5 496,5 645,5 849,6 020,6 183
1339,Oceania (excluding Australia and New Zealand),,,1835,Bangladesh,50,1 802,1 924,2 070,1 933,1 739,1 736,1 769,1 799
1340,Oceania (excluding Australia and New Zealand),,,1835,India,356,1 857,1 814,1 692,1 599,1 670,1 674,1 692,1 711
1341,Oceania (excluding Australia and New Zealand),,,1835,Iran (Islamic Republic of),364,0..,0..,0..,0..,31,372,356,412
1342,Oceania (excluding Australia and New Zealand),,,1835,Nepal,524,156,191,239,221,140,125,124,125
1343,Oceania (excluding Australia and New Zealand),,,1835,Pakistan,586,1 294,1 382,1 456,1 650,1 771,1 824,1 867,1 903
1344,Oceania (excluding Australia and New Zealand),,,1835,Sri Lanka,144,118,120,89,93,294,118,212,233
1345,Oceania (excluding Australia and New Zealand),,,1835,South-Eastern Asia,920,53 048,58 161,62 784,66 549,65 542,63 748,65 907,67 704
1346,Oceania (excluding Australia and New Zealand),,,1835,Cambodia,116,482,558,635,676,718,551,584,613
1347,Oceania (excluding Australia and New Zealand),,,1835,Indonesia,360,9 027,8 343,7 841,11 049,14 532,14 551,14 670,14 764
1348,Oceania (excluding Australia and New Zealand),,,1835,Lao People's Democratic Republic,418,515,597,679,723,768,590,625,656
1349,Oceania (excluding Australia and New Zealand),,,1835,Malaysia,458,248,249,213,210,194,187,183,181
1350,Oceania (excluding Australia and New Zealand),,,1835,Philippines,608,41 853,47 310,52 151,52 565,47 963,46 670,48 595,50 192
1351,Oceania (excluding Australia and New Zealand),,,1835,Singapore,702,71,72,53,61,51,51,50,50
1352,Oceania (excluding Australia and New Zealand),,,1835,Viet Nam,704,852,1 032,1 212,1 265,1 316,1 148,1 200,1 248
1353,Oceania (excluding Australia and New Zealand),,,1835,EUROPE,908,42 359,47 299,51 151,58 170,63 093,71 230,74 042,76 397
1354,Oceania (excluding Australia and New Zealand),,,1835,Eastern Europe,923,41,42,31,31,26,26,25,25
1355,Oceania (excluding Australia and New Zealand),,,1835,Russian Federation,643,41,42,31,31,26,26,25,25
1356,Oceania (excluding Australia and New Zealand),,,1835,Northern Europe,924,3 537,3 389,2 624,2 603,2 329,2 356,2 372,2 392
1357,Oceania (excluding Australia and New Zealand),,,1835,Ireland,372,67,68,50,50,42,42,41,41
1358,Oceania (excluding Australia and New Zealand),,,1835,United Kingdom*,826,3 470,3 321,2 574,2 553,2 287,2 314,2 331,2 351
1359,Oceania (excluding Australia and New Zealand),,,1835,Southern Europe,925,529,599,668,706,725,598,617,637
1360,Oceania (excluding Australia and New Zealand),,,1835,Italy,380,363,411,459,486,500,411,425,439
1361,Oceania (excluding Australia and New Zealand),,,1835,Spain*,724,166,188,209,220,225,187,192,198
1362,Oceania (excluding Australia and New Zealand),,,1835,Western Europe,926,38 252,43 269,47 828,54 830,60 013,68 250,71 028,73 343
